LASCO CME Y/M/D (UT),Disturbance Y/M/D (UT),Dst (nT)
2005/09/09 1948,2005/09/11 0114,-139
2005/09/12 2000,2005/09/12 0605,-88
2005/09/13 1600,2005/09/13 0900,-86
2005/09/15 0600,2005/09/15 0600,-80
2005/09/20 1800,2005/09/20 1800,-33
2005/10/31 0200,2005/10/31 0200,-74
2005/12/31 0400,2005/12/31 0000,-30
2006/02/05 2000,2006/02/05 2000,-22
2006/04/10 0606,2006/04/13 1141,-98
2006/07/06 0854,2006/07/09 2136,-27
2006/08/16 1630,2006/08/19 1131,-79
2006/08/26 2057,2006/08/30 2000,-35
2006/09/30 0800,2006/09/30 0300,-21
2006/11/01 1700,2006/11/01 1700,-28
2006/11/18 1000,2006/11/18 1000,-20
2006/11/29 0500,2006/11/28 1300,-66
2006/12/13 0254,2006/12/14 1414,-162
2006/12/14 2230,2006/12/16 1755,-56
2007/01/14 1200,2007/01/14 1248,-18
2007/11/15 1806,2007/11/19 1811,-59
2008/09/17 0400,2008/09/17 0000,-20
2008/12/04 1200,2008/12/04 0400,-26
2008/12/12 0854,2008/12/16 1159,-15
2009/01/19 0200,2009/01/18 2100,-6
2009/02/04 0000,2009/02/03 2000,-42
2010/01/01 2200,2010/01/01 2200,-4
2010/02/07 1800,2010/02/07 1700,-22
2010/02/07 0354,2010/02/11 0000,-7
2010/02/19 1500,2010/02/19 1500,-11
2010/02/21 0000,2010/02/21 0000,-6
2010/02/22 1300,2010/02/22 1300,-16
2010/04/03 1033,2010/04/05 0826,-81
2010/04/09 1800,2010/04/09 1800,-31
2010/04/08 0454,2010/04/11 1304,-67
2010/04/30 0600,2010/04/30 0600,-13
2010/05/24 1406,2010/05/28 0258,-80
2010 06/16 0635,2010/06/20 2000,-11
2010 08/01 0845,2010/08/03 1741,-74
2010 10/26 0200,2010/10/30 1015,-11
2010/12/28 0300,2010/12/28 0300,-43
2011/01/24 1000,2011/01/24 0700,-14
2011/02/04 1300,2011/02/04 1300,-63
2011/02/15 0236,2011/02/18 0130,-32
2011/03/03 0548,2011/03/06 0331,-27
2011 03/24 1900,2011/03/29 1602,-4
2011 05/25 0420,2011/05/28 0100,-80
2011 06/02 0745 ,2011/06/04 2045,-45
2011 06/14 0610,2011/06/17 0241,-5
2011/07/06 1700,2011/07/06 0258,-28
2011/07/15 0400,2011/07/14 1200,-17
2011/08/02 0636,2011/08/04 2153,-15
2011/08/04 0412,2011/08/05 1751,-115
2011/09/08 1000,2011/09/08 1000,-7
2011/09/06 2305,2011/09/09 1242,-75
2011/09/16 1900,2011/09/16 1900,-16
2011/09/13 2210,2011/09/17 0343,-72
2011/09/18 1200,2011/09/18 1000,-30
2011/09/19  0600,2011/09/22 0300,-29
2011/09/24 1248,2011/09/26 1234,-118
2011/10/02 0100,2011/10/05 0736,-43
2011/10/06 1200,2011/10/06 1200,-22
2011/10/07 0200,2011/10/07 0247,-33
2011/10/22 2100,2011/10/22 2100,-7
2011/10/22 0005,2011/10/24 1831,-147
2011/10/26  1000,2011/10/30 1001,-29
2011/10/27 1200,2011/11/01 0907,-66
2011/11/07 1700,2011/11/07 1500,-5
2011/11/09 1330,2011/11/12 0559,-13
2011/11/26 0700,2011/11/28 2150,-25
2011/12/02 1800,2011/12/02 1717,-14
2011/12/25 0200,2011/12/25 0200,-7
2011/12/29 2200,2011/12/29 2200,-16
2012/01/18 1224,2012/01/21 0501,-10
2012/01/19 1436,2012/01/22 0611,-71
2012/02/14 2100,2012/02/14 0700,-67
2012/02/16 1400,2012/02/16 0700,-22
2012 02/24 0225,2012/02/26 2139,-57
2012/02/29 0500,2012/02/29 0500,-22
2012/03/02 2100,2012/03/02 2100,-50
2012/03/03  1836,2012/03/06 0800,-23
2012/03/07 0024,2012/03/08 1103,-145
2012/03/13 1736,2012/03/15 1306,-88
2012/04/23 1700,2012/04/23 0320,-120
2012/04/26 0000,2012/04/25 1700,-57
2012/05/12 0000,2012/05/16 1600,-39
2012/06/08 1000,2012/06/08 0700,-12
2012/06/14 1412,2012/06/16 2019,-86
2012/07/02 0836,2012/07/04 1900,-19
2012/07/04 1724,2012/07/08 0800,-78
2012/07/12 1648,2012/07/14 1809,-139
2012/07/22 1100,2012/07/21 1612,-28
2012/09/01 0700,2012/09/01 0600,-69
2012/08/31  2000,2012/09/03 1213,-61
2012/09/02  0309,2012/09/04 2245,-64
2012/09/06 0200,2012/09/06 0200,-32
2012/09/28  0012,2012/09/30 1131,-39
2012/09/28 0000,2012/09/30 2305,-122
2012/09/29  0912,2012/10/02 2200,-32
2012/10/05 0248,2012/10/08 0516,-107
2012/10/12 2200,2012/10/12 1900,-90
2012/10/27 1624,2012/10/31 1538,-65
2012/11/09 0300,2012/11/09 0300,1
2012/11/09 1512,2012/11/12 2311,-108
2012/11/21  1600,2012/11/23 2152,-40
2012/11/23 1336,2012/11/26 0512,-8
2012/11/28 1800,2012/11/28 1800,-1
2012/12/14 0700,2012/12/14 0200,9
2013/01/13 0724,2013/01/17 1600,-52
2013/01/19 0000,2013/01/18 1237,-25
2013/02/14 0800,2013/02/13 1700,-37
2013/02/17 1000,2013/02/16 1209,-40
2013/03/15 0712,2013/03/17 0559,-132
2013/03/20 1800,2013/03/20 1700,-39
2013/04/11 0724,2013/04/13 2254,-6
2013/04/30 1200,2013/04/30 0949,-47
2013/05/01 1100,2013/05/01 0900,-72
2013/05/25 2300,2013/05/25 2000,-47
2013/06/06 1400,2013/06/06 0255,-78
2013/06/08 1000,2013/06/08 0600,-20
2013/06/23 2236,2013/06/27 1438,-102
2013/07/01  2024,2013/07/05 0100,-87
2013/07/09 1512,2013/07/12 1714,-81
2013/08/21 0800,2013/08/20 2227,-26
2013/08/20  0812,2013/08/22 1926,-40
2013/08/21  0512,2013/08/24 0003,-29
